Nome da Publicação,Temática,Tipo de material,Tópicos / Assuntos,Órgão/Instituição,Idioma,Arquivo,Link p/ acesso
Novo Coronavirus - HEALTH IN SUS IS EVERONE'S RIGHT,Migrantes,Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Direito à saúde do solicitante de refúgio,Saúde pública gratuita",ACNUR / SUS / Governo do Rio de Janeiro,"Inglês,Português",orientacoes GRJ_EN para_imigrantes_e_refugiados_coronavirus.pdf (https://dl.airtable.com/.attachments/19bbcd068ad79822800eac56d0d5d9a6/0f708992/orientacoesGRJ_ENpara_imigrantes_e_refugiados_coronavirus.pdf),
Novo Coronavirus - LA SANTE DANS LE SUS EST UN DROIT POUR TOUS,Migrantes,Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Direito à saúde do solicitante de refúgio,Saúde pública gratuita",ACNUR / SUS / Governo do Rio de Janeiro,"Francês,Português",orientacoes GRJ FR_para_imigrantes_e_refugiados_coronavirus.pdf (https://dl.airtable.com/.attachments/5b8a9653cd91535834ec9b2cf4223255/48accdb6/orientacoesGRJFR_para_imigrantes_e_refugiados_coronavirus.pdf),
Cartilha Poliglota - Comunicação sobre saúde com Indígenas Warao e Eñepa,Migrantes,Cartilha,"Saúde indígena,Folclore Indígena,""Doenças respiratórias (Gripe, asma, tuberculose...)"",Direito à saúde do solicitante de refúgio,Medicina tradicional Warao,Medicina tradicional Eñepa,Diagnósticos,Recomendações",ACNUR / FRATERNIDADE Federação Humanitária Internacional,"Espanhol,Português,Warao,Eñepa",Cartilha Saúde Indígenas Warao e Eñepa español portugues.pdf (https://dl.airtable.com/.attachments/7553d72c8140c5e4d1dff9eedba4153e/dd76051c/CartilhaSadeIndgenasWaraoeEepaespaolportugues.pdf),
Manitas Brilhantes,Migrantes,Cartilha,"Atividades Infantis,Educação infantil,Higiene pessoal,Hábitos saudáveis",Cáritas Brasileira,"Espanhol,Português",Cáritas cartilla manitas brillantes Crianças ES_POR.pdf (https://dl.airtable.com/.attachments/0fed8edbc5e4425f76bdd3e2b6ac9d00/9f193683/CritascartillamanitasbrillantesCrianasES_POR.pdf),
COVID-19: QUAIS OS CUIDADOS AO CHEGAR EM CASA ?,Migrantes,Folders,"Prevenção,Transmissão,Cuidados pessoais,O que fazer ao chegar em casa",UFPR - PBMIH,"Português,Árabe,Crioulo","ÁRABE - CUIDADOS CHEGAR EM CASA .pdf (https://dl.airtable.com/.attachments/3ec21ff78dc8db5c9df321070450fb1e/b9362f31/RABE-CUIDADOSCHEGAREMCASA.pdf),KREOLE - CUIDADOS CHEGAR EM CASA.pdf (https://dl.airtable.com/.attachments/faa3066b767a385d9d022038b6a295ff/fda72df2/KREOLE-CUIDADOSCHEGAREMCASA.pdf),PORTUGUES Quais os cuidados com o coronavirus ao chegar em casa WPP.pdf (https://dl.airtable.com/.attachments/0d2180d96407d103df124b4b8df94daf/02d9886b/PORTUGUESQuaisoscuidadoscomocoronavirusaochegaremcasaWPP.pdf),ESPANHOL - CUIDADOS CHEGAR EM CASA .pdf (https://dl.airtable.com/.attachments/1b4bed16fad5ca835096984337a72583/5584e069/ESPANHOL-CUIDADOSCHEGAREMCASA.pdf),FRANCES  - CUIDADOS CHEGAR EM CASA.pdf (https://dl.airtable.com/.attachments/38131ce535008a1f15b00770f731e0f4/24851952/FRANCES-CUIDADOSCHEGAREMCASA.pdf),INGLES - CUIDADOS CHEGAR EM CASA.pdf (https://dl.airtable.com/.attachments/0eef5b7e3a4ea90b37336cf5dfc4a3ff/82bcccce/INGLES-CUIDADOSCHEGAREMCASA.pdf)",https://www.pbmihufpr.com/post/quais-cuidados-ao-chegar-em-casa?fbclid=IwAR01ngcMEHt2TD3ko9NZQVn0HzLYZzz1z6MgDnKVGnKcDKGQVgrLgcNxmvs
Refugiados e Migrantes podem ter direito ao Auxílio Emergencial,Migrantes,Artigo em site,Auxílio Emergencial,Ministérios da Saúde - Rede SUAS,"Português,Inglês,Espanhol,Francês,Warao,Árabe",Apoios-por-perda-de-renda-Mobile-PT.pdf (https://dl.airtable.com/.attachments/5e32c32a510617f97d31469c43aab54c/1a163220/Apoios-por-perda-de-renda-Mobile-PT.pdf),http://blog.mds.gov.br/redesuas/auxilio-emergencial-para-refugiados-e-migrantes/
Dados da Interiorização de migrantes e refugiados venezuelanos,Migrantes,Artigo em site,,Ministérios da Saúde - Rede SUAS,Português,,http://aplicacoes.mds.gov.br/snas/painel-interiorizacao/
CAM participa de cartilha multilíngue para a assistência à saúde de migrantes com Governo do Estado e OIM,Migrantes,Artigo em site,,OIM - Organização Mundial para as Migrações,"Português,Espanhol,Francês,Crioulo Haitiano,Wolof",Cartilha-para-Acolhimento-de-Migrantes.pdf (https://dl.airtable.com/.attachments/4ce101aa9a7afa1422fce30bce72a561/3bf4fb9b/Cartilha-para-Acolhimento-de-Migrantes.pdf),https://www.aesc.org.br/cam-participa-de-cartilha-multilingue-para-a-assistencia-a-saude-de-migrantes-com-governo-do-estado-e-oim/
DIREITOS DOS IMIGRANTES E REFUGIADOS EM TEMPOS DE COVID-19 EDIÇÃO 2,Migrantes,Publicação,,UniCuritiba / LABRI,Português,Cartilha-2-Edição-Direitos-dos-Imigrantes-e-Refugiados-PT-pdf.pdf (https://dl.airtable.com/.attachments/9142214748cabfa1e08b7331a3dc2533/3559803b/Cartilha-2-Edicao-Direitos-dos-Imigrantes-e-Refugiados-PT-pdf.pdf),file:///C:/Users/Gustavo/Downloads/Cartilha-2-Edic%CC%A7a%CC%83o-Direitos-dos-Imigrantes-e-Refugiados-PT-pdf.pdf
Audio indígena warao: Yusmenia Torres,Migrantes,Áudio,,OPAS-OMS,Warao,1.png (https://dl.airtable.com/.attachments/eb0558284717a74149a67c2e4c17a69a/8e83affe/1.png),https://drive.google.com/file/d/1gq3qPK7V47sMGlLZBzFdjC3Gh-pJfqxF/view?usp=sharing
Audio: Indígena warao > Yusmenia torres,Migrantes,Áudio,,OPAS-OMS,Warao,2.png (https://dl.airtable.com/.attachments/8ec4ef5ee8878d386f6749743a228e31/cd68f302/2.png),https://drive.google.com/file/d/1hykGsOlZUtcLC7vOae_0YyoZLgZYUpAZ/view?usp=sharing
Audio: Yusmenia Torres.,Migrantes,Áudio,,OPAS-OMS,Warao,3.png (https://dl.airtable.com/.attachments/2fe7985b0c6333040fe416b30d79f78d/104af983/3.png),https://drive.google.com/file/d/1iVP5mHmQ4YTmIT7r--svhmmytaSEbHK-/view?usp=sharing
Audio: indígena warao Yusmenia Torres,Migrantes,Áudio,,Conferencia Episcopal Venezoelana,Warao,4.png (https://dl.airtable.com/.attachments/4d8f27c5b20583dfdf77fde49164692f/927f10d6/4.png),https://drive.google.com/file/d/1ibUaKVldbT6-r-NiaslpmSQfwFTgXJZA/view?usp=sharing
Vocabulário Warao saúde/sintomas,Migrantes,Texto,Frases e termos recorrentes/úteis,,Warao,Vocabulario warao.docx (https://dl.airtable.com/.attachments/de0da6850c909814c81c3cbfd9c84dcc/cea9221a/Vocabulariowarao.docx),
MIGRAÇÕES INTERNACIONAIS e a Pandemia de COVID-19,"Migrantes,Geral",Cartilha,"Desafios e ações das Instituições e da sociedade diante da pandemia,Inserção Laboral,Exploração Laboral,Atuação da DPU em Defesa de Migrantes,Migrações Internacionais e Pandemia,Contexto da Pandemia: Direitos de Imigrantes e Refugiados e tema emergentes,Contextos Nacionais das Migrações Internacionais e a Pandemia,Contextos das Migrações Internacionais e Pandemia em São Paulo,Relatos de Mobilidade Estudantil e Pandemia",UNICAMP,Português,UNFPA Migrações Internacionais e a pandemia de COVID_19 2020.pdf (https://dl.airtable.com/.attachments/0a89f86beb8fcb226d61cb061c2410bc/17cbc301/UNFPAMigraesInternacionaiseapandemiadeCOVID_192020.pdf),
ACNUR- Materiais de comunicação produzidos para as comunidades indígenas e não indígenas sobre COVID-19,"Migrantes,Indígenas","Cartilhas, folders, Cards e mídias","Links úteis,A Pandemia",ACNUR,"Português,Warao,Eñepa,Inglês,Árabe,Crioulo",,https://trello.com/b/Kob3R0Nh/r4v-covid-19-content
Cartilha COVID - Dâw,Indígenas,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",Instituto Socioambiental - ISA,Dâw,Covid_daw(1)(1)(1).pdf (https://dl.airtable.com/.attachments/8344fe8b883d59f1182805a098a1415b/22705a05/Covid_daw111.pdf),
Cartilha COVID - Baniwa,Indígenas,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",Instituto Socioambiental - ISA,Baniwa,Covid_baniwa(1)(5).pdf (https://dl.airtable.com/.attachments/f7229ab57af5518af41740352bd846fc/f89fa588/Covid_baniwa15.pdf),
Cartilha COVID - Neenhgat,Indígenas,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",Instituto Socioambiental - ISA,Neenhgatu,Covid_neenhgatu(1)(1).pdf (https://dl.airtable.com/.attachments/3f4341c270b93d3526596390d89488d3/4b85264b/Covid_neenhgatu11.pdf),
Cartilha COVID - Tukano,Indígenas,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",Instituto Socioambiental - ISA,Tukano,Covid_tukano(2).pdf (https://dl.airtable.com/.attachments/936fbe0c74b78217a01c9e884c7ba9b5/e007218e/Covid_tukano2.pdf),
Povos Indígenas no enfrentamento à Covid19,Indígenas,Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Assistência Médica,Transmissão,Grupo de Risco,Prevenção,Uso de máscara,Se estiver infectado,Isolamento Social",CIMI (Conselho Indigenista Missionário),Português,CIMI_Cartilha.pdf (https://dl.airtable.com/.attachments/8cb0d75bf323a65ee0e7689259c877d0/46c1b80d/CIMI_Cartilha.pdf),
ORIENTAÇÕES AOS POVOS E Comunidades Tradicionais,Indígenas,Cartilha,"O que é COVID-19 (Corona vírus),Isolamento Social,Prevenção,Uso de máscara,Sintomas,Soberania e Segurança Alimentar,Grupo de Risco,Auxílio Emergencial",Rede de Povos e Comunidades tradicionais do Brasil,Português,Auxilio-Povos-e-Comunidades-Tradicionais-Covid-IMPRIMIR.pdf (https://dl.airtable.com/.attachments/98321e0b3500ec70b71eb691f91b6d4e/efae7384/Auxilio-Povos-e-Comunidades-Tradicionais-Covid-IMPRIMIR.pdf),
Podcast sobre COVID-19 em Língua Tukano na voz do tradutor indígena Justino Sarmento Rezende,Indígenas,Podcast,O que é COVID-19 (Corona vírus),Instituto Socioambiental,Tukano,,https://open.spotify.com/search/Copio%20Parente
Plano de enfrentamento da covid-19 no Brasil,Indígenas,Cartilha,,APIB (Articulação dos Povos Indígenas do Brasil),Português,Plano de Enfrentamento Covid 19.pdf (https://dl.airtable.com/.attachments/cfe4b12dc3ffe01273b20c211edfbd3a/12e20be7/PlanodeEnfrentamentoCovid19.pdf),
Escondedor de bocas,Indígenas,"Banners, folders e cartões",,Hutukara Associação Yanomami,"Yanomae,Nimam,Sanöma ,Yanomam",122001471_10157336655986681_1922527960912463712_o.pdf (https://dl.airtable.com/.attachments/4de3b809cf2bb160002b338d83c0a064/930c2b66/122001471_10157336655986681_1922527960912463712_o.pdf),https://drive.google.com/drive/folders/1RMPk5JfyQWfFncg7-frRXY1Wb7KmskFJ
Folder Wapichana (Português),Indígenas,Folder,"O que é COVID-19 (Corona vírus),Transmissão,Prevenção",CIR,Português,FOLDERPORTcomunidadesindgenas.pdf (https://dl.airtable.com/.attachments/b0ef672d1299c28d1f49eaf4277dbc5b/34ecc790/FOLDERPORTcomunidadesindgenas.pdf),
Folder Wapichana,Indígenas,Folder,"O que é COVID-19 (Corona vírus),Transmissão,Prevenção",CIR,Wapichana,FOLDER-WAPICHANA-1.pdf (https://dl.airtable.com/.attachments/2a3cb61a832545eb16ddb165733c83b9/1166eac8/FOLDER-WAPICHANA-1.pdf),
Cartilha Baniwa,Indígenas,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",ISA- Instituto Socioambiental,Baniwa,Cartilha- covid- Ba.pdf (https://dl.airtable.com/.attachments/c294ff1e0d96f728ff580f64c64fa4fe/f968ebcb/Cartilha-covid-Ba.pdf),
Podcast sobre COVID-19 em Língua Nheengatu na voz da tradutora indígena Elizangela da Silva,Indígenas,Podcast,"O que é COVID-19 (Corona vírus),Prevenção",Instituto Socioambiental / FOIRN,Neenhgatu,,https://soundcloud.com/wayuri-audio/covid-19-asui-tawa-wasu-idigena-makatu-nesui
Cartilha Baniwa (Português),Indígenas,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",ISA- Instituto Socioambiental,Português,Cartilha em português.pdf (https://dl.airtable.com/.attachments/5ef5344668cf52325bc8736adec91d92/b26e2fa7/Cartilhaemportugus.pdf),
Coronavírus e as Comunidades Tradicionais,Indígenas,Guia/Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Transmissão,Grupo de Risco,Isolamento Social,Se estiver infectado,Auxílio Emergencial",Ministério Público Federal ,Português,Cartilha MPF.pdf (https://dl.airtable.com/.attachments/cbd318eef07410f97607da96900fa12f/fa8497c2/CartilhaMPF.pdf),
Ações da Funai no contexto da Covid-19,Indígenas,Cartilha,"Transmissão,Isolamento Social,Sintomas,Assistência Médica,Notificação de caso",FUNAI,Português,Cartilha para Funai - COVID-19.pdf (https://dl.airtable.com/.attachments/300d3c87a27b760b4efd46637799c35e/f0d0dae6/CartilhaparaFunai-COVID-19.pdf),
Epidemia Eterna na Terra Yanomami - PODCAST O Assunto,Indígenas,Podcast - Spotfy,,G1 - Renata Lo Prete,Português,,https://open.spotify.com/episode/50NWARGAvORvc7cXv2IY58?si=xRFoJLbvTwKSvCpV1Q9MuQ
COIAB e IPAM vencem prêmio Empreendedor Social do Ano com aplicativo de monitoramento,"Indígenas,Geral",Artigo em Site,,COIAB,Português,,https://coiab.org.br/conteudo/coiab-e-ipam-vencem-pr%C3%AAmio-empreendedor-social-do-ano-com-aplicativo-de-1607389387957x892779126617014300
Conhecimentos ancestrais fortalecidos: Encontro no Tiquié reúne Kumuã para discutir Covid-19 e cria coordenação de saberes tradicionais indígenas,Indígenas,Artigo em Site,,FOIRN Terra e Cultura,Português,,https://foirn.blog/2020/12/10/conhecimentos-ancestrais-fortalecidos-encontro-no-tiquie-reune-kumua-para-discutir-covid-19-e-cria-coordenacao-de-saberes-tradicionais-indigenas/?fbclid=IwAR0DOArW9okeNGVf-xadPq-9BldqGZJyLaW4SO046f4fecqwbd5Wdt_9n3c
"Evento: Lançamento dos Livros Coronavírus nas línguas: Macuxi, Wai Wai e Wapichana ",Indígenas,Artigo em Site,,Universidade Federal de Roraima - UFRR,Português,Lanamentodolivrocoronavirus.jpeg (https://dl.airtable.com/.attachments/70c6eba08967fd4fdbf92d05c13fd261/f54e8626/Lanamentodolivrocoronavirus.jpeg),https://ufrr.br/ultimas-noticias/6719-editora-da-ufrr-lanca-livros-sobre-coronavirus-nas-linguas-indigenas-macuxi-wai-wai-e-wapichana
Comissão aprova projeto que torna idioma indígena língua cooficial em municípios com aldeias Fonte: Agência Câmara de Notícias,Indígenas,Artigo em Site,,Câmara dos Deputados,Português,,https://www.camara.leg.br/noticias/625266-comissao-aprova-projeto-que-torna-idioma-indigena-lingua-cooficial-em-municipios-com-aldeias/
Cadernos de Políticas Sociais – Povos indígenas e o enfrentamento à pandemia de covid-19: experiências internacionais,Indígenas,Publicações,,ANDEPS - Associação Nacional da Carreira de Desenvolvimento de  Políticas Sociais,Português,cadernovol1-covidindigenas_final2020.pdf (https://dl.airtable.com/.attachments/ba1910903a6fe9773cf5efaa0022a4ad/56f43fc5/cadernovol1-covidindigenas_final2020.pdf),http://andeps.org.br/2020/12/21/cadernos-de-politicas-sociais-povos-indigenas-e-o-enfrentamento-a-pandemia-de-covid-19-experiencias-internacionais/
Aplicativo fornece dados sobre a pandemia para povos indígenas,Indígenas,Artigo em site,,EBC - Empresa Brasil de Comunicação,"Português,Wapichana",,https://radios.ebc.com.br/tarde-nacional/2020/09/alerta-indigena-covid-19-aplicativo-gratuito-para-casos-de-covid-19-na-regiao
COVID-19 - Vacinação Indígena,Indígenas,Imagens,,,,"WhatsApp Image 2021-01-23 at 09.57.38.jpeg (https://dl.airtable.com/.attachments/f82f0712334c09a8585561aa79bc8a5b/66c98da9/WhatsAppImage2021-01-23at09.57.38.jpeg),WhatsApp Image 2021-01-21 at 19.56.43.jpeg (https://dl.airtable.com/.attachments/5b39e6589503480c0918b5628eef3cd9/688815a3/WhatsAppImage2021-01-21at19.56.43.jpeg)",
Manifesto pela Vida: Vacinação para todos e todas os/as indígenas no Brasil!,Indígenas,Artigo em site,,APIB,Português,,https://apiboficial.org/2021/01/22/manifesto-pela-vida-vacinacao-para-todos-e-todas-osas-indigenas-no-brasil/
Vacina parente!,Indígenas,Imagem,,Associação Floresta Protegida,,WhatsApp Image 2021-01-24 at 13.01.53.jpeg (https://dl.airtable.com/.attachments/5d77c24fdd962570ef2eae2a6041c3cf/11e70e2a/WhatsAppImage2021-01-24at13.01.53.jpeg),
"'Contar mortes de parentes e pessoas próximas gera muita dor', diz líder indígena sobre app",Indígenas,Artigo em site,,Folha de São Paulo,Português,,https://www1.folha.uol.com.br/empreendedorsocial/2021/01/contar-mortes-de-parentes-e-pessoas-proximas-gera-muita-dor-diz-lider-indigena-sobre-app.shtml
Nota ABRASCO: Vacinação para todas e todos indígenas já!,Indígenas,Publicação,,ABRASCO,Português,nota abrasco aba vacina_28_01_21 VF.pdf (https://dl.airtable.com/.attachments/8154c93f9e4d59737e1b57a95ccd63c1/001c292b/notaabrascoabavacina_28_01_21VF.pdf),
O Direito à Saúde dos Povos Indígenas e os Desafios do Enfrentamento da Pandemia da Covid-19 no Contexto de Retorno da Política Indigenista Integracionista no Brasil,Indígenas,Publicação,,,Português,4582-16725-1-PB.pdf (https://dl.airtable.com/.attachments/27e6ff7a0abf48a20c1f2825df098c8f/75d354a9/4582-16725-1-PB.pdf),https://www.portaldeperiodicos.idp.edu.br/direitopublico/issue/view/213/showToc
Glossário de Libras do Coronavírus Covid 19,Surdos,Vídeo - Youtube,,Unitevê - TV Universitária da UFF,"Libras,Português",,https://youtu.be/-snZ0P7x_0A
COVID-19 EM LIBRAS: Quais os sintomas do Coronavirus?,Surdos,Vídeo - Youtube,,Audiovisual TILSP,"Libras,Português",,https://youtu.be/Rn3Z-wpQChk
COVID-19 - CORONA VIRUS [EM LIBRAS],Surdos,Vídeo - Youtube,,SignaEdu,"Libras,Português",,https://youtu.be/eTdoGDazlzg
COVID-19 EM LIBRAS: O que é Coronavírus? E o Covid-19 é a mesma coisa?,Surdos,Vídeo - Youtube,,Audiovisual TILSP,"Libras,Português",,https://youtu.be/Hn7orHZ2mU8
COVID-19 EM LIBRAS: Existem vacina para Covid-19? E tratamento?,Surdos,Vídeo - Youtube,,Audiovisual TILSP,"Libras,Português",,https://youtu.be/IM52ekxBOcY
Manual de Libras para Ciências: A Célula e o Corpo Humano,Surdos,Publicação,,Universidade Federal do Piauí - UFPI,"Libras,Português",EBOOK_-_MANUAL_DE_LIBRAS_PARA_CIENCIA-_A_CëLULA_E_O_CORPO_HUMANO20200727155142.pdf (https://dl.airtable.com/.attachments/21ebab1f0b2a6be4f4032e4884b0da80/599cebae/EBOOK_-_MANUAL_DE_LIBRAS_PARA_CIENCIA-_A_CLULA_E_O_CORPO_HUMANO20200727155142.pdf),https://www.ufpi.br/arquivos_download/arquivos/EBOOK_-_MANUAL_DE_LIBRAS_PARA_CIENCIA-_A_C%C3%ABLULA_E_O_CORPO_HUMANO20200727155142.pdf
O que é o Coronavírus? O novo Coronavírus COVID-19? | IMEB,Geral,Vídeo - Youtube,O que é COVID-19 (Corona vírus),Clínica IMEB,Português,,https://youtu.be/2l2FkU006bU
O QUE DIZEM PESQUISADORES E CIENTISTAS DE TODO O MUNDO EM REDES SOCIAIS ACADÊMICAS E PROFISSIONAIS,Geral,Artigo,"O que é COVID-19 (Corona vírus),A Pandemia",Instituto Butantan,Português,,https://coronavirus.butantan.gov.br/publicacoes-cientificas
Coronavírus: conheça novos sintomas que podem indicar que você está com covid-19,Geral,Vídeo - Youtube,"O que é COVID-19 (Corona vírus),Sintomas,Transmissão",Catraca Livre,Português,,https://youtu.be/cW7Ts1hTOe0
Cartilha - Covid-19: preservar a vida é o melhor presente neste fim de ano,Geral,Publicação,"Isolamento Social,Prevenção,Transmissão,Cuidados pessoais",FIOCRUZ,Português,_cartilha_cuidados_final-de-ano_2020-12-15.pdf (https://dl.airtable.com/.attachments/49283ffbe0099aecb193e41e33f9921e/a4106d21/_cartilha_cuidados_final-de-ano_2020-12-15.pdf),https://agencia.fiocruz.br/sites/agencia.fiocruz.br/files/u35/_cartilha_cuidados_final-de-ano_2020-12-15.pdf
EVISTA HUMANIDADES 64 - O espanto e a dor diante da COVID-19,Geral,Publicação,A Pandemia,UnB - Universidade de Brasília,Português,v4_RevistaHumanidades64_impresso_PagDupla_Web.pdf (https://dl.airtable.com/.attachments/6852104448f71927052cd72b3d0d685d/a5d634da/v4_RevistaHumanidades64_impresso_PagDupla_Web.pdf),https://www.editora.unb.br/downloads/v4_RevistaHumanidades64_impresso_PagDupla_Web.pdf
Ágora Abrasco | Painel - Pandemia na Amazônia: crise e caos,Geral,Vídeo - Youtube,,TV ABRASCO,Português,,https://youtu.be/ZLOqgOO02e4
Informe Técnico: Campanha Nacional de Vacinação contra a COVID-19,Geral,Publicação,Vacinação,Ministério da Saúde,Português,Informe_Técnico_Vacina_COVID-19.pdf (https://dl.airtable.com/.attachments/64d3e569239510980a18ef6dc133d31d/e37c16e3/Informe_Tecnico_Vacina_COVID-19.pdf),
